cycle,window_start,window_end,best_fit,mean_fit,genomes_multi_window
0,2024-01-16,2025-01-28,1.243974623826746,0.29995064224721807,0
1,2024-06-28,2025-07-14,2.1557620710864507,0.9083475941994674,10
2,2023-10-19,2024-10-30,2.2191400728102617,0.9932726906299605,19
3,2024-11-08,2025-11-21,2.479284683093312,1.272198385569314,28
4,2024-01-29,2025-02-10,1.4715942403033586,0.6437161294076436,38
5,2024-08-26,2025-09-09,1.8931570619958662,0.707435030350395,48
6,2023-07-06,2024-07-17,2.546241964936419,1.1358353054851011,58
7,2024-04-26,2025-05-09,2.3446269624575273,1.0832514761964724,68
8,2023-08-23,2024-09-04,2.8094209513458495,1.6078757183056844,77
9,2023-11-30,2024-12-11,1.9939928058441985,0.9497630898387275,87
10,2024-03-20,2025-04-02,3.3865854530039314,1.5455352599349617,97
11,2024-09-25,2025-10-08,2.183123542727297,0.9860868779384765,106
