gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,4.277414299829457,2.257647874578443,2,5.499623705878078,35,2.6076096925437358,-0.03679038200091955,6.092557645683091,16,2.341045178397122
1,4.277414299829457,1.1367270953631199,10,5.499623705878078,35,2.6076096925437358,-0.03679038200091955,6.092557645683091,16,2.341045178397122
2,4.776607730046368,1.927768132483316,30,6.2351924858702485,40,2.418689163552151,-0.0690111891425389,4.517102351395961,22,1.8697009552817392
3,6.9394266653796866,3.196692809180682,55,7.038440062827373,37,3.831993600963023,-0.05336928351817627,3.064480021233062,19,1.7231740809412945
4,7.781169092515352,4.205733833202617,47,9.31760176443095,47,3.138664158043273,-0.08830142774641225,1.4764213183425092,26,1.3138722296007304
5,7.865316087828376,5.409165623115015,39,7.20972875628829,30,3.981499503854668,-0.07260949698222752,4.750912125319726,10,3.1117431526953983
6,8.734483252753593,5.481273386758884,37,7.478951541596685,31,4.108971085911062,-0.043982829365367904,8.48354929893895,10,6.298965441338322
7,8.734483252753593,5.8190019580390215,33,7.478951541596685,31,4.108971085911062,-0.043982829365367904,8.48354929893895,10,6.298965441338322
8,9.20405149234634,6.564328207548122,45,7.931450962293972,32,4.3622085413737945,-0.044319875197074254,6.787526408494779,13,4.056734260883757
9,9.573544042146919,6.652356896531497,38,8.186313790892587,32,4.583913174555321,-0.04398327380285494,7.210958773355065,13,4.214743461369007
10,9.573544042146919,8.283994722456763,31,8.186313790892587,32,4.583913174555321,-0.04398327380285494,7.210958773355065,13,4.214743461369007
11,9.953660695791706,8.218442886561437,33,8.513405283957,32,4.778020142593608,-0.044308262198109905,7.23029539731294,13,4.235939834644885
12,9.953660695791706,8.791559371630838,38,8.513405283957,32,4.778020142593608,-0.044308262198109905,7.23029539731294,13,4.235939834644885
13,9.953660695791706,8.47009050441848,36,8.513405283957,32,4.778020142593608,-0.044308262198109905,7.23029539731294,13,4.235939834644885
14,10.019814237858656,8.388587049812884,37,8.44943155619376,33,4.503641495976774,-0.05430500478269906,9.084364337204958,13,8.49329216354344
