cycle,window_start,window_end,best_fit,mean_fit,genomes_multi_window
0,2023-07-06,2024-07-17,1.302961100274556,0.5235590277518477,0
1,2023-09-20,2024-10-01,1.7990935977643676,0.8275246187202141,10
2,2024-02-05,2025-02-18,0.8369612890547276,0.36173139376914665,20
3,2024-11-08,2025-11-21,1.9039990307102734,0.6628297267684052,30
4,2023-12-15,2024-12-27,1.6849173509402813,0.6575036011191643,40
5,2023-11-21,2024-12-03,2.3276676803992333,1.164700249796459,50
6,2024-07-25,2025-08-07,1.5118078618900008,0.7919880020473055,60
7,2024-04-29,2025-05-12,1.8489225445291622,0.9988631834279312,70
8,2023-08-15,2024-08-26,2.889703057898376,1.2140618531455092,80
9,2024-09-17,2025-09-30,2.0220515722038073,0.7689615095777738,89
10,2024-07-12,2025-07-25,1.7757904710901062,0.7953102195438443,99
11,2024-03-19,2025-04-01,1.7135353213341462,0.7445254485110514,109
