gen,best_fitness,mean_fitness,viable_count,champ_train_sortino,champ_train_trades,champ_train_pf,champ_train_dd,champ_holdout_sortino,champ_holdout_trades,champ_holdout_pf
0,2.2013336914721497,1.4873295602824712,3,2.934277208739602,27,1.8685604560133742,-0.08323857488154074,4.474662517227557,10,4.434041635206558
1,4.587957375045787,1.6020228380060204,19,4.999873096314921,21,3.493389252203582,-0.022445485408690402,8.983841617659111,8,9.998034398034397
2,4.8332848436154165,2.191348772991738,44,5.404474456067839,40,2.8244343318093987,-0.029544586701058084,8.139204451469562,14,5.664824396362496
3,5.92897291065188,3.2539540685506516,48,6.8309531811222515,37,3.5240350819564425,-0.03803273703822674,3.6830040942061255,13,2.349741094266642
4,6.046531540663576,3.7391574284773212,50,6.6883735240851845,28,4.00909090909091,-0.026537609996125533,7.6607563795473625,11,5.467464968152866
5,7.885353447570882,4.597578758060054,47,8.766435215352583,38,4.849396822699856,-0.02793412412138363,5.399495473029669,15,3.1648793788551384
6,7.885353447570882,4.551914226076968,44,8.766435215352583,38,4.849396822699856,-0.02793412412138363,5.399495473029669,15,3.1648793788551384
7,8.014143514064454,4.850177222442578,60,8.654239974487608,29,5.908026796294955,-0.019967712685074024,6.42992976396998,10,4.957354093223658
8,8.05970840803431,5.4343971768189805,49,8.703444175302728,29,5.913330272790973,-0.019967712685074024,6.368771106125534,10,4.921412133379033
9,8.077326333397773,5.347542973539298,54,8.72326819539535,29,5.922221685116256,-0.019992440423224123,6.304965650585977,10,4.936297020029311
10,9.008635653627982,5.871924760900121,54,9.728779136034763,29,6.299372435433259,-0.01998480985621731,6.342027684936648,10,4.972481927710843
11,9.008635653627982,5.813054887786747,55,9.728779136034763,29,6.299372435433259,-0.01998480985621731,6.342027684936648,10,4.972481927710843
12,9.008635653627982,6.5306290950413555,50,9.728779136034763,29,6.299372435433259,-0.01998480985621731,6.342027684936648,10,4.972481927710843
13,9.077801491513066,7.0803627770421995,48,9.803359102135659,29,6.468957898023394,-0.01998164454523832,6.458903081352428,10,5.042045345833732
14,9.105241050758929,6.686058800526578,51,9.769999059624556,27,6.740467724684184,-0.018252070570120127,6.341410645947908,10,4.981776028468216
