entry_date,exit_date,direction,entry,exit,stop,target,bars_held,pnl_$,pnl_%_equity,exit_reason
2006-08-18,2006-09-18,long,1562.6199951171875,1632.1700439453125,1520.83394077846,1646.1921037946427,20,48.8110901416193,4.88110901416193,timeout
2006-09-18,2006-09-19,long,1627.5400390625,1615.441127232143,1615.441127232143,1651.7378627232142,1,-35.69690022739225,-3.403558616315942,stop
2006-09-19,2006-10-04,long,1611.97998046875,1673.9035121372767,1581.0182146344866,1673.9035121372767,11,59.204461229370935,5.8438092979808465,target
2006-10-11,2006-11-08,long,1676.0799560546875,1756.1099068777903,1636.064980643136,1756.1099068777903,20,62.99165469119192,5.874341048158872,target
2006-11-17,2006-11-24,long,1790.9599609375,1820.4870256696427,1776.1964285714287,1820.4870256696427,4,63.986893128969015,5.636070843373491,target
2006-11-27,2006-12-01,long,1786.7099609375,1760.1861136300224,1760.1861136300224,1839.7576555524552,4,-38.40254202889491,-3.2020871942397804,stop
2007-01-17,2007-01-18,long,1830.3399658203125,1805.6185389927455,1805.6185389927455,1879.7828194754466,1,-37.40537035053182,-3.222115816201105,stop
2007-02-20,2007-02-27,long,1813.0699462890625,1780.2996172223773,1780.2996172223773,1878.610604422433,5,-35.56944289971814,-3.1659797137770203,stop
2007-03-23,2007-03-29,long,1793.3800048828125,1760.9964120047434,1760.9964120047434,1858.1471906389506,4,-34.44504178683773,-3.1661378351347786,stop
2007-03-29,2007-04-03,long,1757.93994140625,1794.914794921875,1739.4525146484375,1794.914794921875,3,60.2032909237192,5.714734782005824,target
2007-04-11,2007-04-20,long,1795.0,1846.4370465959819,1769.281476702009,1846.4370465959819,7,64.48884230583448,5.790617838450286,target
2007-04-24,2007-04-25,long,1844.800048828125,1871.1043962751114,1831.6478751046318,1871.1043962751114,1,65.73232060008694,5.579202627425876,target
2007-04-27,2007-05-25,long,1884.260009765625,1889.25,1854.865713936942,1943.048601422991,20,3.942821631854183,0.3169727462814879,timeout
2007-06-05,2007-06-07,long,1919.27001953125,1893.8975612095423,1893.8975612095423,1970.0149361746653,2,-40.26700908077131,-3.2269315012990916,stop
2007-06-19,2007-06-26,long,1937.989990234375,1903.3242885044642,1903.3242885044642,2007.3213936941966,5,-38.25254068639898,-3.1677153405403766,stop
2007-07-10,2007-07-12,long,1973.4000244140625,2010.9608764648438,1954.6195983886719,2010.9608764648438,2,66.47326737600265,5.684767530553447,target
2007-07-20,2007-07-24,long,2024.300048828125,2011.4418116978236,2011.4418116978236,2050.016523088728,2,-42.910493899081544,-3.4722964808428616,stop
2007-09-05,2007-09-07,long,1989.280029296875,1961.886021205357,1961.886021205357,2044.0680454799108,2,-38.38528379560005,-3.2178520232582706,stop
2007-09-14,2007-09-18,long,1983.43994140625,2022.8841727120534,1963.7178257533483,2022.8841727120534,2,65.78678226781841,5.69829201243208,target
2007-09-20,2007-10-05,long,2032.0799560546875,2137.4127894810267,1979.413539341518,2137.4127894810267,11,71.80470233753205,5.884248060744948,target
2007-10-11,2007-10-31,long,2144.219970703125,2238.9035382952006,2096.878186907087,2238.9035382952006,14,75.76983484575933,5.864122992495949,target
2007-11-30,2007-12-18,long,2082.18994140625,2007.4346575055804,2007.4346575055804,2231.700509207589,12,-42.17882838348102,-3.0835602448185315,stop
2008-03-27,2008-04-24,long,1800.7099609375,1924.5799560546875,1727.250732421875,1947.62841796875,20,66.08772760372068,4.985185154658362,timeout
2008-04-24,2008-05-14,long,1890.800048828125,2012.0143694196427,1830.1928885323662,2012.0143694196427,14,82.2036159732835,5.906407095815024,target
2008-06-03,2008-06-05,long,1981.25,2047.2563389369425,1948.2468305315288,2047.2563389369425,2,85.7838581684736,5.8199036608990475,target
2008-11-05,2008-11-06,long,1301.0,1261.0392325265068,1261.0392325265068,1380.9215349469864,1,-48.31615908623536,-3.0976707968031123,stop
2008-11-06,2008-11-12,long,1272.18994140625,1192.3896004813057,1192.3896004813057,1431.7906232561386,4,-46.066115899707825,-3.047826485200212,stop
2008-12-11,2009-01-12,long,1196.9100341796875,1201.1300048828125,1138.5703778948102,1313.589346749442,20,2.277997056475386,0.1554548412584124,timeout
2009-01-12,2009-01-14,long,1199.530029296875,1172.601841517857,1172.601841517857,1253.3864048549108,2,-45.990924363968546,-3.1336365490846214,stop
2009-02-11,2009-02-17,long,1210.97998046875,1184.1296691894531,1184.1296691894531,1264.6806030273438,3,-44.57343375571713,-3.135303457141201,stop
2009-03-16,2009-03-18,long,1149.5899658203125,1219.1448538643972,1114.8125217982702,1219.1448538643972,2,81.25972845802808,5.900833140719741,target
2009-03-20,2009-03-23,long,1180.3399658203125,1226.7671334402903,1157.1263820103236,1226.7671334402903,1,85.2763504329253,5.847459146056662,target
2009-04-06,2009-04-30,long,1294.1600341796875,1415.1614903041295,1233.6593061174665,1415.1614903041295,17,91.62692705644663,5.935827547421475,target
2009-05-01,2009-05-04,long,1384.3699951171875,1427.5770263671875,1362.7664794921875,1427.5770263671875,1,94.9714782464428,5.807757679007324,target
2009-05-28,2009-06-01,long,1398.4200439453125,1472.8101283482142,1361.2250017438616,1472.8101283482142,2,101.86187977233652,5.887209157900288,target
2009-06-03,2009-06-23,long,1466.280029296875,1418.2388741629463,1418.2388741629463,1562.3623395647323,14,-56.640093758732235,-3.0915639949877884,stop
2009-07-02,2009-07-07,long,1446.969970703125,1409.4297136579241,1409.4297136579241,1522.0504847935267,2,-55.31636925692153,-3.1156334626820117,stop
2009-08-26,2009-09-01,long,1629.77001953125,1604.323207310268,1604.323207310268,1680.6636439732142,4,-54.908897724894246,-3.1921384107421624,stop
2009-09-21,2009-09-25,long,1714.3299560546875,1691.6270969935827,1691.6270969935827,1759.7356741768972,4,-53.728906926123216,-3.2265348982840303,stop
2009-10-22,2009-10-23,long,1742.8900146484375,1775.9935651506698,1726.3382393973213,1775.9935651506698,1,91.59880442721621,5.6841021603653825,target
2009-11-12,2009-11-16,long,1772.469970703125,1812.4605712890625,1752.4746704101562,1812.4605712890625,2,97.65632046234204,5.734067014038334,target
2009-11-19,2009-12-18,long,1763.8900146484375,1807.3599853515625,1719.8503199986048,1851.9694039481028,20,51.15980314032986,2.8410333691063663,timeout
2009-12-31,2010-01-21,long,1868.1400146484373,1843.833945138114,1843.833945138114,1916.752153669084,13,-59.82725205978406,-3.2305769775555437,stop
2010-02-22,2010-02-23,long,1813.0799560546875,1797.7899562290736,1797.7899562290736,1843.6599557059153,1,-60.13747776259062,-3.355738386540215,stop
2010-02-23,2010-03-02,long,1799.25,1857.0258091517858,1770.362095424107,1857.0258091517858,5,100.6803226683191,5.813148441216312,target
2010-03-03,2010-03-10,long,1847.030029296875,1920.6430315290177,1810.2235281808037,1920.6430315290177,5,107.19835357494226,5.849453495445913,target
2010-03-19,2010-03-23,long,1930.9100341796875,1961.4044102260045,1915.662846156529,1961.4044102260045,2,109.01941492712776,5.620078791332497,target
2010-04-13,2010-04-14,long,1990.780029296875,2022.8228934151784,1974.7585972377233,2022.8228934151784,1,115.2928692658019,5.627228073880005,target
